iter	Passed	Remaining
720	8722	3375
721	8734	3363
722	8745	3350
723	8756	3338
724	8767	3325
725	8779	3313
726	8791	3301
727	8803	3289
728	8815	3277
729	8827	3265
730	8839	3252
731	8850	3240
732	8862	3228
733	8874	3215
734	8884	3203
735	8897	3191
736	8908	3179
737	8920	3166
738	8931	3154
739	8942	3142
740	8953	3129
741	8964	3117
742	8977	3105
743	8990	3093
744	9001	3081
745	9017	3070
746	9030	3058
747	9042	3046
748	9056	3034
749	9068	3022
750	9080	3010
751	9092	2998
752	9103	2986
753	9114	2973
754	9126	2961
755	9136	2948
756	9147	2936
757	9162	2925
758	9176	2913
759	9189	2901
760	9203	2890
761	9214	2878
762	9225	2865
763	9236	2853
764	9247	2840
765	9259	2828
766	9270	2816
767	9282	2804
768	9296	2792
769	9309	2780
770	9321	2768
771	9332	2756
772	9342	2743
773	9355	2731
774	9366	2719
775	9378	2707
776	9391	2695
777	9403	2683
778	9415	2671
779	9426	2658
780	9438	2646
781	9450	2634
782	9463	2622
783	9474	2610
784	9485	2598
785	9497	2585
786	9507	2573
787	9519	2561
788	9530	2548
789	9542	2536
790	9554	2524
791	9567	2512
792	9578	2500
793	9590	2488
794	9602	2476
795	9613	2463
796	9623	2451
797	9634	2438
798	9647	2426
799	9660	2415
800	9672	2403
801	9685	2391
802	9699	2379
803	9711	2367
804	9722	2355
805	9734	2343
806	9745	2330
807	9757	2318
808	9769	2306
809	9782	2294
810	9795	2282
811	9808	2270
812	9820	2258
813	9832	2246
814	9843	2234
815	9853	2221
816	9865	2209
817	9876	2197
818	9887	2185
819	9899	2173
820	9911	2160
821	9923	2148
822	9935	2136
823	9948	2124
824	9959	2112
825	9972	2100
826	9984	2088
827	9996	2076
828	10007	2064
829	10019	2052
830	10033	2040
831	10047	2028
832	10060	2016
833	10070	2004
834	10081	1992
835	10095	1980
836	10106	1968
837	10118	1956
838	10129	1943
839	10142	1931
840	10156	1920
841	10168	1908
842	10181	1896
843	10193	1884
844	10205	1872
845	10216	1859
846	10227	1847
847	10239	1835
848	10251	1823
849	10262	1811
850	10273	1798
851	10284	1786
852	10295	1774
853	10306	1762
854	10317	1749
855	10328	1737
856	10340	1725
857	10352	1713
858	10363	1701
859	10375	1689
860	10388	1677
861	10400	1665
862	10411	1652
863	10422	1640
864	10433	1628
865	10445	1616
866	10458	1604
867	10470	1592
868	10482	1580
869	10494	1568
870	10505	1555
871	10516	1543
872	10528	1531
873	10539	1519
874	10550	1507
875	10563	1495
876	10574	1483
877	10585	1470
878	10596	1458
879	10609	1446
880	10624	1435
881	10638	1423
882	10652	1411
883	10664	1399
884	10676	1387
885	10687	1375
886	10699	1363
887	10710	1350
888	10722	1338
889	10733	1326
890	10744	1314
891	10757	1302
892	10768	1290
893	10780	1278
894	10792	1266
895	10803	1253
896	10814	1241
897	10826	1229
898	10837	1217
899	10849	1205
900	10860	1193
901	10873	1181
902	10885	1169
903	10897	1157
904	10909	1145
905	10920	1133
906	10931	1120
907	10941	1108
908	10952	1096
909	10964	1084
910	10975	1072
911	10986	1060
912	10998	1048
913	11010	1036
914	11022	1023
915	11033	1011
916	11046	999
917	11058	987
918	11068	975
919	11080	963
920	11094	951
921	11106	939
922	11119	927
923	11130	915
924	11143	903
925	11156	891
926	11168	879
927	11181	867
928	11193	855
929	11204	843
930	11215	831
931	11226	819
932	11238	807
933	11250	794
934	11262	782
935	11273	770
936	11283	758
937	11295	746
938	11308	734
939	11319	722
940	11333	710
941	11345	698
942	11357	686
943	11368	674
944	11380	662
945	11390	650
946	11402	638
947	11413	626
948	11425	614
949	11437	601
950	11449	589
951	11461	577
952	11474	565
953	11486	553
954	11498	541
955	11509	529
956	11522	517
957	11535	505
958	11548	493
959	11559	481
960	11572	469
961	11583	457
962	11595	445
963	11607	433
964	11619	421
965	11631	409
966	11643	397
967	11655	385
968	11666	373
969	11679	361
970	11691	349
971	11704	337
972	11717	325
973	11727	313
974	11738	300
975	11751	288
976	11763	276
977	11774	264
978	11786	252
979	11797	240
980	11809	228
981	11822	216
982	11834	204
983	11845	192
984	11857	180
985	11869	168
986	11880	156
987	11892	144
988	11904	132
989	11916	120
990	11927	108
991	11939	96
992	11951	84
993	11962	72
994	11974	60
995	11986	48
996	11997	36
997	12009	24
998	12020	12
999	12031	0
